name,rating,latitude,longitude,type
The Blackstone A Renaissance Hotel,4.0,41.8733563,-87.6247907,hotel
The Westin Chicago River North,4.0,41.888,-87.6299,hotel
The Midland Hotel,4.0,41.8795,-87.6332,hotel
Majestic Hotel,2.5,41.9475,-87.6442,hotel
City Suites Hotel,2.5,41.9397689,-87.6528805,hotel
Swissotel Chicago,4.0,41.8873452,-87.6195255,hotel
Hilton Garden Inn Chicago Downtown/Magnificent Mile,3.0,41.8919297,-87.6272228,hotel
Embassy Suites Hotel Chicago Downtown Lakefront,3.5,41.8914173,-87.6196669,hotel
Springhill Suites Chicago Downtown / River North,3.0,41.8896644,-87.6298061,hotel
BEST WESTERN Plus Hawthorne Terrace Hotel,3.0,41.9441264,-87.6460609,hotel
The Sutton Place Hotel,4.0,41.9013573,-87.6274661,hotel
Wyndham Blake Chicago,3.5,41.87514,-87.6295038,hotel
Courtyard by Marriott Chicago Downtown,3.5,41.8932,-87.6229,hotel
Residence Inn Chicago Downtown,3.0,41.8998458,-87.6213927,hotel
Chicago's Essex Inn,3.0,41.8714905,-87.6247391,hotel
Amber Inn,3.0,41.823089,-87.622953,hotel
Mark Twain Hotel,3.0,41.903809,-87.632028,hotel
Steps to Everything - Navy Pier 31,2.5,41.8898225,-87.6181409,hotel
Suite Home Chicago - One Superior Place,5.0,41.8954273,-87.6290174,hotel
Congress Plaza Hotel,3.0,41.8749587,-87.6248317,hotel
Ramada Inn Lake Shore - Chicago,2.0,41.8055748,-87.5854755,hotel
Red Roof Inn,2.0,41.8936029,-87.6229595,hotel
The Standard Club,4.0,41.877684,-87.6290181,hotel
Travelodge Chicago Downtown,2.0,41.8744804,-87.6265149,hotel
University Club of Chicago,4.0,41.8810139,-87.6249695,hotel
Heart O' Chicago Motel,2.0,41.9904246,-87.67239,hotel
BEST WESTERN Grant Park Hotel,2.5,41.8691254,-87.6246855,hotel
Holiday Inn Chicago O'Hare,3.0,41.9818517,-87.83565,hotel
Hyatt Chicago Magnificent Mile,4.0,41.8938944,-87.6225092,hotel
Habitat Corporate Suites at Presidential Towers,4.0,41.8816335,-87.641616,hotel
Elms Hotel,5.0,41.9034,-87.6280676,hotel
East of the Ryan,3.5,41.7515866,-87.6018982,hotel
Best Motel,3.0,41.7753687,-87.6149868,hotel
Fairfield Inn & Suites Chicago Downtown/River North,2.5,41.8909091,-87.6300261,hotel
Aloft Chicago City Center,4.3,41.8914217,-87.6294449,hotel
Midway Inn,3.0,41.7961879,-87.7231353,hotel
Wrigleyville 50,2.5,41.9566615,-87.9336721,hotel
Steps to Everything - Gold Coast 10,3.0,41.9092598,-87.6324753,hotel
Royalton Hotel,3.0,41.8777982,-87.6722186,hotel
Royal Michigan Motel,4.0,41.8261017,-87.6232429,hotel
Oakwood North Harbor Tower,5.0,41.8854448,-87.6154758,hotel
Oakwood At Eugenie Terrace,3.5,41.9137761,-87.6338377,hotel
Hyatt Place Chicago/River North,4.5,41.8911872,-87.6309174,hotel
Chinatown Hotel,1.5,41.8523532,-87.6326299,hotel
Stan Properties Suites at 300 N. Canal,1.0,41.8872856,-87.6403275,hotel
River Park Motel & Suites,3.0,41.9921859,-87.7110203,hotel
Chicago Athletic Association,4.5,41.8816573,-87.6249801,hotel
Lincoln Motel,1.0,41.988717,-87.704747,hotel
Delaware Towers,3.0,41.8989833,-87.627321,hotel
The Fisher Building,4.0,41.8771221,-87.6289991,hotel
Clarion Hotel Midway Airport,3.0,41.758635,-87.7409308,hotel
Inn at Lincoln Park,2.0,41.932741,-87.643773,hotel
Howard Johnson Inn Downtown Chicago,2.0,41.8952663,-87.6324969,hotel
The Tremont Chicago Hotel at Magnificent Mile,3.0,41.8985442,-87.6256008,hotel
Fairfield Inn Chicago Midway Airport,2.0,41.7728222,-87.7419901,hotel
Ohio House Motel,4.0,41.8868828,-87.6324633,hotel
The Whitehall Hotel,4.0,41.8989328,-87.6257157,hotel
"Inn of Chicago Magnificent Mile, an Ascend Collection hotel",3.0,41.8927989,-87.6230275,hotel
Hotel Felix,4.0,41.8946216,-87.6315484,hotel
Union League Club,4.0,41.877805,-87.63002,hotel
Holiday Inn Express Chicago-Midway Airport,2.5,41.7901584,-87.7414281,hotel
The Westin Michigan Avenue Chicago,4.0,41.8994421,-87.6232342,hotel
Allerton Hotel,4.0,41.8952056,-87.6237615,hotel
Holiday Inn Chicago Downtown,3.0,41.8744807,-87.6401557,hotel
Ruby Room,3.5,41.903145,-87.679689,hotel
Chicago Marriott at Medical District/UIC,3.5,41.8737364,-87.6661272,hotel
Hyatt Regency McCormick Place,3.5,41.8514878,-87.6193903,hotel
Marriott Chicago Downtown Magnificent Mile,3.5,41.8919952,-87.6248664,hotel
"Hotel Cass, a Holiday Inn Express",3.0,41.8937434,-87.6270864,hotel
Crowne Plaza Chicago - The Metro,3.5,41.8817014,-87.6468427,hotel
Crowne Plaza Chicago Magnificent Mile,4.0,41.8952518,-87.6229806,hotel
Hilton Chicago O'Hare Airport,4.0,41.9782523,-87.9092355,hotel
Hilton Chicago,4.0,41.8725091,-87.6251131,hotel
W Chicago Lakeshore,4.0,41.8938835,-87.6153889,hotel
River Hotel,3.5,41.8876218,-87.625448,hotel
Central Loop Hotel,3.5,41.8793184,-87.631192,hotel
Chicago South Loop Hotel,3.0,41.8451066,-87.6278219,hotel
Raffaello Hotel,4.0,41.8990655,-87.6216043,hotel
Courtyard Chicago Midway Airport,3.0,41.7728448,-87.7419907,hotel
Holiday Inn Chicago - Mart Plaza,3.0,41.8881436,-87.6375906,hotel
Doubletree by Hilton Chicago Magnificent Mile,3.5,41.8928006,-87.619824,hotel
Club Quarters Chicago - Central Loop,3.5,41.8793175,-87.6313222,hotel
Fairmont Chicago Millennium Park,4.0,41.8861188,-87.6210458,hotel
Hilton Suites Chicago/Magnificent Mile,3.5,41.8996573,-87.6221716,hotel
Chicago Marriott O'Hare,3.5,41.9852988,-87.8413561,hotel
Wheeler Mansion,4.0,41.8549031,-87.6194163,hotel
Club Quarters Chicago -- Wacker at Michigan,4.0,41.8876218,-87.625448,hotel
Buckingham Athletic Club,3.5,41.8759345,-87.6322286,hotel
Hotel Sax Chicago,4.0,41.8883996,-87.6295569,hotel
Hotel Indigo Chicago Downtown Gold Coast,3.5,41.908503,-87.6301294,hotel
Holiday Inn Chicago - Midway Airport,3.0,41.7728289,-87.7419903,hotel
The Palmer House Hilton,4.0,41.8803325,-87.6269504,hotel
Millennium Knickerbocker Hotel Chicago,4.0,41.8997836,-87.6227266,hotel
Hyatt Regency Chicago,4.0,41.8874806,-87.6228364,hotel
InterContinental Chicago,4.5,41.8913478,-87.623558,hotel
PUBLIC Chicago,4.0,41.905988,-87.628314,hotel
Embassy Suites Hotel Chicago Downtown,3.5,41.8928718,-87.6285763,hotel
Renaissance Chicago Hotel,4.0,41.8862144,-87.628491,hotel
The Drake,4.0,41.9004207,-87.6234192,hotel
Marriott Chicago Midway,3.5,41.7901584,-87.7414281,hotel
BEST WESTERN PLUS River North Chicago Downtown Hotel,3.0,41.8921317,-87.6319855,hotel
Four Points by Sheraton Chicago Downtown / Magnificent Mile,3.0,41.8935625,-87.626098,hotel
Hard Rock Hotel Chicago,4.0,41.8865558,-87.6250085,hotel
Days Inn Chicago,2.0,41.9330553,-87.6455511,hotel
Hotel Allegro Chicago - a Kimpton Hotel,4.0,41.8841092,-87.6336242,hotel
Renaissance Chicago O'Hare Suites Hotel,4.0,41.9831406,-87.8409362,hotel
Sheraton Chicago Hotel and Towers,4.0,41.8891374,-87.6194796,hotel
Omni Chicago Hotel,4.5,41.8947239,-87.6249368,hotel
